path,method,role,status,content_type,schema
/api/v2/admin/vps-monitor/status,GET,USER,403,application/json,json
/api/v2/admin/vps-monitor/status,GET,SUPER_USER,403,application/json,json
/api/v2/admin/vps-monitor/samples,GET,GUEST,401,application/json,json
/api/v2/admin/vps-monitor/samples,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/vps-monitor/samples,GET,ADMIN,403,application/json,json
/api/v2/admin/vps-monitor/samples,GET,USER,403,application/json,json
/api/v2/admin/vps-monitor/samples,GET,SUPER_USER,403,application/json,json
/api/v2/admin/vps-monitor/start,POST,GUEST,401,application/json,json
/api/v2/admin/vps-monitor/start,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/vps-monitor/start,POST,ADMIN,403,application/json,json
/api/v2/admin/vps-monitor/start,POST,USER,403,application/json,json
/api/v2/admin/vps-monitor/start,POST,SUPER_USER,403,application/json,json
/api/v2/admin/vps-monitor/stop,POST,GUEST,401,application/json,json
/api/v2/admin/vps-monitor/stop,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/vps-monitor/stop,POST,ADMIN,403,application/json,json
/api/v2/admin/vps-monitor/stop,POST,USER,403,application/json,json
/api/v2/admin/vps-monitor/stop,POST,SUPER_USER,403,application/json,json
/api/v2/admin/notifications,GET,GUEST,200,application/json,json
/api/v2/admin/notifications,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/notifications,GET,ADMIN,200,application/json,json
/api/v2/admin/notifications,GET,USER,200,application/json,json
/api/v2/admin/notifications,GET,SUPER_USER,200,application/json,json
/api/v2/admin/market-config,GET,GUEST,200,application/json,json
/api/v2/admin/market-config,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/market-config,GET,ADMIN,200,application/json,json
/api/v2/admin/market-config,GET,USER,200,application/json,json
/api/v2/admin/market-config,GET,SUPER_USER,200,application/json,json
/api/v2/admin/market-config,POST,GUEST,200,application/json,json
/api/v2/admin/market-config,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/market-config,POST,ADMIN,200,application/json,json
/api/v2/admin/market-config,POST,USER,200,application/json,json
/api/v2/admin/market-config,POST,SUPER_USER,200,application/json,json
/api/v2/admin/reload-scrip-master,POST,GUEST,ERR,,ReadTimeout
/api/v2/admin/reload-scrip-master,POST,SUPER_ADMIN,ERR,,ReadTimeout
/api/v2/admin/reload-scrip-master,POST,ADMIN,ERR,,ReadTimeout
/api/v2/admin/reload-scrip-master,POST,USER,ERR,,ReadTimeout
/api/v2/admin/reload-scrip-master,POST,SUPER_USER,ERR,,ReadTimeout
/api/v2/admin/diagnose-login,POST,GUEST,400,application/json,json
/api/v2/admin/diagnose-login,POST,SUPER_ADMIN,400,application/json,json
/api/v2/admin/diagnose-login,POST,ADMIN,400,application/json,json
/api/v2/admin/diagnose-login,POST,USER,400,application/json,json
/api/v2/admin/diagnose-login,POST,SUPER_USER,400,application/json,json
/api/v2/admin/backdate-position,POST,GUEST,401,application/json,json
/api/v2/admin/backdate-position,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/backdate-position,POST,ADMIN,200,application/json,json
/api/v2/admin/backdate-position,POST,USER,403,application/json,json
/api/v2/admin/backdate-position,POST,SUPER_USER,403,application/json,json
/api/v2/admin/force-exit,POST,GUEST,200,application/json,json
/api/v2/admin/force-exit,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/force-exit,POST,ADMIN,200,application/json,json
/api/v2/admin/force-exit,POST,USER,200,application/json,json
/api/v2/admin/force-exit,POST,SUPER_USER,200,application/json,json
/api/v2/admin/upload-nse-files,POST,GUEST,200,application/json,json
/api/v2/admin/upload-nse-files,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/upload-nse-files,POST,ADMIN,200,application/json,json
/api/v2/admin/upload-nse-files,POST,USER,200,application/json,json
/api/v2/admin/upload-nse-files,POST,SUPER_USER,200,application/json,json
